disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Project area,col2_Project title,col3_Stage of project development,col4_Status of financing,col5_Identified financing model,"col6_Project description and URL link, if applicable","col7_Attach project proposal, if applicable",col8_Total cost of project (in currency specified in 1.2),"col9_Total investment cost needed, if relevant (in currency specified in 1.2)","col10_If this project is related to a previously reported adaptation or mitigation action, select the ID of the action"
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Nature-Based Solutions,"Race to Zero \n\nThrough joining Race to Zero, we are enacting nature recovery. ",Project feasibility,"Other: Funding currently via Defra for nature recovery and FiPL for landscape change, but will continually need to source funding streams",Public finance- national government|Grants,"Northumberland National Park is one of the first in the world to join the Race to Zero, committing to halve emissions by 2030 and become a net carbon sink by 2050. The Park is working with the other 14 UK National Parks to transform 610,000 hectares of land into climate resilient, nature rich landscapes.\n\nLandscape scale nature recovery:\n168,000 hectares of damaged peatland to be restored.\n224,000 hectares of land to adopt regenerative agriculture practices.\n218,400 hectares of new woodland to be created.\nThese actions will significantly increase carbon sequestration and biodiversity.\nhttps://www.northumberlandnationalpark.org.uk/uk-national-parks-first-in-world-to-join-race-to-zero/",,,,Adaptation Action 1
2025 Disclosure Cycle,779465,CDP,2012310,Peak District National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Land-Use,Moors for the Future Partnership,Implementation,Project partially funded and seeking additional funding,Private investment|Grants|Public finance- national government,"The ongoing work of the Moors for the Future Partnership is reliant on funding, with securing a sustainable business model for the partnership being on of the core NPMP actions (CC6). Due to the reducing in DEFRA funding (national government) and access to EU funding sources (e.g. the previous MoorLIFE grant), alternative funding sources are being sought, primarily from corporate sources. \n\nhttps://reports.peakdistrict.gov.uk/npmpprogress/docs/aim-one-climate-change/actions/cc6.html",,,,Mitigation Action 6|Adaptation Action 1
2025 Disclosure Cycle,779465,CDP,2012310,Peak District National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Land-Use,TBD Within-Range Calcareous Grassland Translocation project ,Scoping,Project not funded and seeking full funding,No financing model identified,"An emerging project would aim to research within-geographic range translation of calcareous grassland species as a proof on concept for assisted colonisation of isolated habitats. This aims to provide evidence for climate adaptation work which could then be extrapolated to supporting species in northwards movements as climate change alters abiotic conditions, resulting in range-shift.\n\nThis project is in the very early phases of development, and would be linked to the work of the new Landscape Observatory, a project based within the PDNPA but which links together Protected Landscapes across the UK. This project's first phase of work involves the use of AI mapping to provide detailed models of landscapes to understand their capacity for management, e.g. modelling suitable habitat for a particular species to promote targeted management or translocation. The aim is this can be utilised alongside other evidence gathering to ensure highly evidence based management planning, which is able to be more able to adapt to the impacts of climate change, e.g. through using the Resist-Accept-Direct decision making framework.\n\nhttps://www.landscapeobservatory.org.uk/",,,,Mitigation Action 9|Adaptation Action 6
2025 Disclosure Cycle,779465,CDP,2012312,Yorkshire Dales National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,2023043,Nasushiobara City,City,Japan,Japan,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,2024876,Town of Lügde,City,Europe,Germany,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Energy efficiency (including public lighting),Energiemanagement public infrastructure,Pre-feasibility/impact assessment,Project partially funded and seeking additional funding,Public finance- own budget,,,,,
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Energy efficiency (including public lighting),Iluminación led en BNUO,Post-implementation,Project partially funded and seeking additional funding,Grants|Public-private partnership,"se busca sumar como proyecto emblemáticoel recambio de luminarias led, en todo el territorio comunal, bajo el manejo inteligente. en la actualidad se encuentra el 100 % del BNUP c0n luminarias led, pero queda un procentaje de comunidades particulares en el desarrollo de la transpormación",,,,Mitigation Action 1
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Waste management (including waste recycling),Adquisición de un camión recolector de carga eléctrica para la gestión de residuos orgánicos en la comuna de El Quisco.,Scoping,Project not funded and seeking full funding,Grants|Public finance- national government,"Para lograr los objetivos propuestos en la ENRO, se propone la adquisición de un camión recolector de residuos orgánicos para mejorar la gestión de los residuos en nuestra comuna, tanto en el sector comercial como en el domiciliario y a la vez disminuir los costos que corresponden a la disposición final de nuestros residuos domiciliarios. Se considera la adquisición de un vehículo de carga eléctrica para contribuir a la sostenibilidad ambiental y al cumplimiento de los objetivos de reciclaje de residuos orgánicos establecidos por la ENRO y los ODS.\n",Perfil Proyecto Climático (4) (1).pdf,200000000,130000000,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,2027804,Kalasin Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Renewable energy,Solar Rooftop System Installation Project\n,Project structuring,Project not funded and seeking full funding,Grants,"เทศบาลเมืองกาฬสินธุ์จะดำเนินโครงการติดตั้งระบบไฟฟ้าจากแสงอาทิตย์ (Solar Rooftop) บนหลังคาสำนักงานเทศบาลเมืองกาฬสินธุ์ เพื่อลดการใช้และประหยัดพลังงานในหน่วยงาน\nระยะเวลาดำเนินงาน ปี 2568-2570\nสถานะทางการเงิน ทุนสนับสนุน\nงบลงทุนทั้งหมด 1,872,000 บาท \nงบลงทุนที่ต้องการ 1,872,000 บาท\nลดการใช้พลังงาน (w/ปี) 150,840 W\nลดปริมาณการปล่อยก๊าซเรือนกระจก 59.38 ตันคาร์บอนไดออกไซต์เทียบเท่า\nประหยัดค่าใช้จ่ายไฟฟ้า 432,000 บาท",Solar Rooftop System Installation Project Proposal Form.pdf,1872000,1872000,Mitigation Action 11
2025 Disclosure Cycle,779465,CDP,2027804,Kalasin Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Energy efficiency (including public lighting),Project to change the smart street lighting system in Kalasin Municipality,Scoping,Project not funded and seeking full funding,Grants,"เทศบาลเมืองกาฬสินธุ์จะดำเนินโครงProject to change the smart street lighting system in Kalasin Municipalityเทศบาลเมืองกาฬสินธุ์ เพื่อลดการใช้และประหยัดพลังงาน และเป็นรากฐานสำหรับการใช้งาน Smart city \nระยะเวลาดำเนินงาน ปี 2568-2570\nสถานะทางการเงิน ทุนสนับสนุน\nงบลงทุนทั้งหมด 130,000 บาท \nงบลงทุนที่ต้องการ 130,000 บาท\nลดการใช้พลังงาน (w/ปี) 3061.6 W\nลดปริมาณการปล่อยก๊าซเรือนกระจก 1.7 ตันคาร์บอนไดออกไซต์เทียบเท่า\nประหยัดค่าใช้จ่ายไฟฟ้า 12,823 บาท",แบบเสนอโครงการ Project to change the smart street lighting system in Kalasin Municipality.pdf,130000,129999,Mitigation Action 12
