disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Primary entity collaborated with,col2_Mechanisms used to collaborate,col3_Areas collaboration focused on,"col4_Description of collaboration and any progress, if applicable",col5_Other entities collaborated with
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,City,Japan,Japan,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Business: Energy,Other: 環境省の募集する脱炭素先行地域への共同提案,Energy,2022年11月、飯田市及び中部電力㈱の共同提案が、環境省の脱炭素先行地域としての選定を受けた。同事業では、市内のモデルエリアにおいて、2030年度までに民生部門の電力使用に伴う二酸化炭素排出量の実質ゼロを目指して種々の事業を展開していくこととしており、地域マイクログリッドの構築、デマンドレスポンスの取組、環境教育の実施などについて、事業者との協働により取り組んていく計画としている。このうち、地域マイクログリッドについては、専用のEMSを開発し、2025年2月に「飯田マイクログリッド」としてその運用を開始した。,Residents/community groups|Energy|National government
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,City,Japan,Japan,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,Climate action plan implementation,Emissions reduction|Energy|Resilience,国が策定した「地域脱炭素ロードマップ」に基づく「脱炭素先行地域」の選定を受け、民生部門の電力消費に伴うCO2排出実質ゼロのまちづくりを推進している。概ね2026年には設備導入が完了する見込み,Energy
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,City,Japan,Japan,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Business: Energy,Project delivery - Public Private Partnership,Energy|Resilience|Emissions reduction,国から選定された「脱炭素先行地域」の整備に向け、国の交付金を原資としながら民間投資を促し、太陽光や大型蓄電池、EMSなどの設備を導入して電力消費に伴うCO2排出実質ゼロの街区を複数形成している,National government
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,Collaborative initiative|Climate action plan implementation|Capacity development,Transport (Mobility)|Energy|Resilience|Emissions reduction|Adaptation,Creation of the LACAP to reach national targerts,Neighboring local government
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Regional government,Climate action plan implementation|Knowledge or data sharing,Emissions reduction|Adaptation|Energy|Resilience,Lawpro funding for climate action projects,Residents/community groups
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Government/Public body: Neighboring local government,Climate action plan implementation|Collaborative initiative,Transport (Mobility)|Resilience|Emissions reduction|Ecosystem restoration|Waste|Building and Infrastructure|Natural environment|Energy|Forestry|Adaptation|Landscape and jurisdictional approaches,Hosting the retrofitting rig with Galway County Council,Academia
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Civil society: Academia,Knowledge or data sharing|Climate action plan implementation|Collaborative initiative,Education|Energy|Resilience|Adaptation|Emissions reduction,Project restoring Gratten beach ,Academia
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Business: Industrials,City business partnership platform|Knowledge or data sharing,Emissions reduction|Energy|Resilience,Large energy users steering group,Academia
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Government/Public body: Indigenous peoples with overlapping or neighboring territory,Climate action plan implementation|Collaborative initiative|Funding (grants),Landscape and jurisdictional approaches|Energy|Adaptation|Inclusive climate action and/or equity|Forestry|Emissions reduction|Building and Infrastructure|Natural environment|Resilience|Ecosystem restoration,Community Gardens ,Residents/community groups
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Regional government,"Multi-jurisdictional regional collaboratives|Knowledge or data sharing|Climate action plan implementation|Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)|Capacity development",Adaptation|Resilience|Agriculture,"Plano Regional de Ação Climática do NORTE\nPlano Regional de Ação Climática do NORTE está a ser elaborado em estreita cooperação com os municípios, as comunidades intermunicipais e a AMP.",Neighboring local government|Regional government
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Other: Laboratório da Paisagem - Not-for-profit Organization,Reporting of climate and/or environmental data|Knowledge or data sharing|Capacity development|City business partnership platform|Collaborative initiative|Trade union engagement|Convening industry groups,Finance|Education|Agriculture|Energy|Building and Infrastructure|Ecosystem restoration|Adaptation|Emissions reduction,"Reconhecendo a importância da tomada de decisão baseada em evidências para concretizar a visão do planeta de uma cidade, o município de Guimarães criou, em 2014, o inovador Laboratório da Paisagem (LP), colocando o conhecimento, a ciência e a tecnologia na vanguarda da gestão ambiental.O LP é um I&D e Educação Ambiental, e um consórcio entre o Município de Guimarães e duas das mais importantes universidades da região norte - a Universidade do Minho e a Universidade de Trás-os-Montes e Alto Douro.O LP atua de forma multidisciplinar, reunindo diferentes áreas de I&D - Biodiversidade, Espaços Verdes, Recursos Hídricos, Economia Circular e Paisagem, apoiando o município em todas as decisões.É um conceito inovador que pretende reforçar a importância do investimento das cidades em I&D+i, criando soluções que as possam tornar cada vez mais adaptadas às exigências do futuro e melhorar a qualidade de vida dos cidadãos.Na verdade, um grande catalisador para chegar aos alunos tem sido o LL, um projeto de aventura que é o símbolo e o centro da educação ambiental - através de um programa municipal de educação ambiental - PEGADAS - e um espaço de descoberta, ensino e aprendizagem.O LP conta com uma equipa totalmente empenhada, com diferentes competências científicas e elevada experiência em abordagens de ciência cidadã. LP desenvolve e gerencia vários projetos de P&D, e também é co-presidente do Grupo de Trabalho de Áreas Verdes e Biodiversidade da Rede Europeia EUROCITIES.A sustentabilidade financeira é assegurada por fundos internos do Município e por programas nacionais e europeus financiados. Ao longo dos anos, a LP criou um ambiente que estimula empregos verdes e crescimento verde (orçamento anual aumentado de € 75 mil para € 1 milhão).O LP já se revelou capaz de implementar um sistema integrado de gestão ambiental local, apostando em projetos inovadores, multidisciplinares e inclusivos, facilmente replicáveis em qualquer contexto territorial.(Fonte: Guimarães' candidacy for European Green Capital, Cycle 2025)",Local government within country/area|Academia|Regional government|National government|Public authority|Local government outside of country/area|Neighboring local government
