disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Further information,col2_Further attachments
2025 Disclosure Cycle,779465,CDP,60892,Municipalidad de Punta Arenas,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"La comuna de Punta Arenas se distingue a nivel nacional por ser la segunda comuna en aprobar su Plan de Acción Comunal de Cambio Climático (PACCC), consolidándose como un referente en la planificación climática local. Este reconocimiento refleja el compromiso de la municipalidad con la mitigación y adaptación al cambio climático, así como la capacidad de articular la participación ciudadana, la planificación territorial y la coordinación interinstitucional.\n\nActualmente, la comuna se encuentra en la etapa de implementación del PACCC, avanzando en proyectos concretos de educación ambiental, eficiencia energética, gestión de residuos, arborización urbana, conservación de humedales y desarrollo de infraestructura resiliente, entre otros. Esta fase no solo permite ejecutar las medidas contempladas, sino también generar información clave sobre resultados, impactos y desafíos, la cual sirve de base para la actualización del instrumento.\n\nEn este contexto, Punta Arenas proyecta ser la primera comuna del país en actualizar su PACCC para el año 2025, incorporando los aprendizajes y análisis obtenidos durante este período de implementación. Esta actualización permitirá reforzar metas, priorizar acciones de mayor impacto, integrar nuevas oportunidades de financiamiento y alinearse con los lineamientos nacionales y regionales en materia climática, consolidando a la comuna como líder en acción climática local y en gobernanza ambiental.",PACCC PLAN DE ACIÓN COMUNAL CAMBIO CLIMATICO 2023-2030.pdf
2025 Disclosure Cycle,779465,CDP,60906,Municipalidad de Vitacura,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"El inventario de GEI corresponde a los años 2018 y 2022, ya que así fue licitado el estudio. La información entregada corresponde al año indicado. En los consumos comunales, se incluye la información verificada más reciente, pero no siempre se logró encontrar de años coincidentes. Esas salvedades se mencionan de manera explícita en los apartados que corresponde.",
2025 Disclosure Cycle,779465,CDP,62791,City of Botoșani,City,Europe,Romania,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,https://primariabt.ro/,
2025 Disclosure Cycle,779465,CDP,62793,City of Ploiești,City,Europe,Romania,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Not the case.,
2025 Disclosure Cycle,779465,CDP,62795,City of Brașov,City,Europe,Romania,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Not the case. ,Blank page.pdf
2025 Disclosure Cycle,779465,CDP,62800,City of Bistrița,City,Europe,Romania,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No other information. ,Blank page.pdf
2025 Disclosure Cycle,779465,CDP,63562,"City of South Bend, IN",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,
2025 Disclosure Cycle,779465,CDP,63601,"Township of Maplewood, NJ",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"As in past years, it remains difficult for a jurisdiction our size to quantitatively assess our climate impact due to lack of accurate data. We eventually get good utility data for electricity and natural gas, and we have an accurate accounting of municipal energy use, but beyond that the data are fairly suspect estimates. This is particularly true of vehicle emissions. \nThis makes it very difficult for us to quantify improvement trends over time, in line with CDP and ICLEI's missions. It also makes it meaningless and even counterproductive to set goals. Maplewood has avoided setting goals and then gaming our way to show successes by doing things like buying green-certified energy without participating in its development.\nOur approach has been to identify the big areas where we can make a difference and look for new ways to improve as a community. This does not lend itself to the quantification responses CDP encourages, but nevertheless is the most effective way we have found to respond to the gathering crisis.",
2025 Disclosure Cycle,779465,CDP,63836,Vadodara Municipal Corporation,City,India,India,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Vadodara Municipal Corporation (VMC) is in the process of establishing the 'Net-zero', Environment and Climate Resilient Cell' to coordinate, plan, and monitor climate actions and explore climate finance opportunities. ICLEI South Asia is supporting VMC in institutionalizing and operationalizing the cell.\n\nThe cell shall comprise of all Heads of Departments and meeting monthly, will coordinate climate-related efforts, integrate climate actions into regular planning, support departments in prioritizing actions, and develop a data bank for monitoring and evaluation.\n\nAll VMC departments shall further prepare a five-year and annual action plan, identifying climate actions at department, zone, and ward levels, aligned with relevant national and state schemes for funding. VMC, with ICLEI South Asia, is also preparing a climate budget for FY 2025-26.\nApproval Letters in Gujarati (Local Language) are attached for reference.","સ્થા.સ.ઠ.અંક-૯૦ ૧૬-૦૫-૨૫ ICLEI.pdf,સ્થા.સ.ઠ.અંક-૯૧ ૧૬-૦૫-૨૫ ICLEI.pdf"
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,"20250505_Broward EVCI_Final Report gm.pdf,Net Zero Plan 2025 Final Resize.pdf,This Document is Strictly to Mark Question 11.1 as Complete.docx"
2025 Disclosure Cycle,779465,CDP,64014,"City of Cupertino, CA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"In early 2025, Cupertino launched a Climate Action Dashboard to showcase the City's sustainability-related efforts and improve public transparency. The dashboard was built in collaboration with ClimateNav and provides data-driven reporting on the City's sustainability efforts, as well as providing links and resources for residents to learn how they reduce their own carbon footprint.\n\nDashboard Link: https://cupertino.climatenavhub.com/",
