disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_requested_org_number,requested_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,questionnaire,eligible_pathway,selected_pathway,disclosure_status,public_status,previous_response_status
2025 Disclosure Cycle,779465,CDP,834284,Municipality of Salamanca,834284,Municipality of Salamanca,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826396,Municipality of Sintra,826396,Municipality of Sintra,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Amended
2025 Disclosure Cycle,779465,CDP,2045345,Municipality of Terézváros,2045345,Municipality of Terézváros,City,Europe,Hungary,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,43930,Municipality of The Hague,City,Europe,Netherlands,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Amended
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,60127,Municipality of Thessaloniki,City,Europe,Greece,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,19233,Municipality of Torres Vedras,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,50674,Municipality of Viseu,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),46473,Municipality of Zaragoza (Spain),City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55325,Municipality of Águeda,55325,Municipality of Águeda,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,50678,Municipality of Évora,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930236,Municipio Manuel Plácido Maneiro,930236,Municipio Manuel Plácido Maneiro,City,Latin America,Venezuela (Bolivarian Republic of),2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,839666,Municipio de Escuintla,839666,Municipio de Escuintla,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,839668,Municipio de Iztapa,839668,Municipio de Iztapa,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930367,Municipio de Montecristi,930367,Municipio de Montecristi,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50382,Municipio de Mérida,50382,Municipio de Mérida,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,839669,Municipio de San Jose,839669,Municipio de San Jose,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,930413,Municipio de Santa Elena,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50381,Municipio de Torreón,50381,Municipio de Torreón,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,831923,Muğla,831923,Muğla,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Amended
2025 Disclosure Cycle,779465,CDP,60186,Nacka Municipality,60186,Nacka Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,74309,Nakhon Sawan City Municipality,74309,Nakhon Sawan City Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60546,Nanjing Municipal People's Government,60546,Nanjing Municipal People's Government,City,China,China,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59998,Narayanganj City Corporation,59998,Narayanganj City Corporation,City,India,Bangladesh,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2023043,Nasushiobara City,2023043,Nasushiobara City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012307,New Forest National Park Authority,2012307,New Forest National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54277,New Plymouth District Council,54277,New Plymouth District Council,City,South East Asia & Oceania,New Zealand,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,56276,New Taipei City Government,City,China,East Asia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",3417,"New York City, NY",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,13113,Newcastle City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74672,Nilüfer Municipality,74672,Nilüfer Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54516,Norrköping Municipality,54516,Norrköping Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,895653,North Minahasa,895653,North Minahasa,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,832300,North Tyneside Council,832300,North Tyneside Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012308,North York Moors National Park Authority,2012308,North York Moors National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,917927,North Yorkshire Council,917927,North Yorkshire Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,13490,Northumberland County Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60108,Norwich City Council,60108,Norwich City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,13506,Nottingham City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840170,Nowon-gu Municipal Government of Seoul,840170,Nowon-gu Municipal Government of Seoul,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,834339,Odawara City,834339,Odawara City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,832610,"Orange County, NC",832610,"Orange County, NC",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848125,Oreamuno,848125,Oreamuno,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044302,Oroquieta City,2044302,Oroquieta City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,14088,Oslo Municipality,City,Europe,Norway,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,14136,Oxford City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54385,Pak Kret City Municipality,54385,Pak Kret City Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027830,Pak Poon Town Municipality,2027830,Pak Poon Town Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,929630,Pasaman Regency,929630,Pasaman Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012310,Peak District National Park Authority,2012310,Peak District National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,74296,Pekalongan,74296,Pekalongan,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2045062,Pemalang Regency,2045062,Pemalang Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,54293,People's Government of Guangzhou Municipality,54293,People's Government of Guangzhou Municipality,City,China,China,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2045992,Pergamino,2045992,Pergamino,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,840024,Perth and Kinross,840024,Perth and Kinross,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54361,Petaling Jaya City Council,54361,Petaling Jaya City Council,City,South East Asia & Oceania,Malaysia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2045446,Phu Yen City,2045446,Phu Yen City,City,South East Asia & Oceania,Viet Nam,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,834348,Phuentsholing Municipality,834348,Phuentsholing Municipality,City,India,Bhutan,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,57347,Pingtung County Government,57347,Pingtung County Government,City,China,East Asia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74325,Pontianak,74325,Pontianak,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862504,Posadas,862504,Posadas,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54699,Prefeitura Municipal de Barueri,54699,Prefeitura Municipal de Barueri,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54670,Prefeitura Municipal de Capivari,54670,Prefeitura Municipal de Capivari,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54674,Prefeitura Municipal de Caxias do Sul,54674,Prefeitura Municipal de Caxias do Sul,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54667,Prefeitura Municipal de Contagem,54667,Prefeitura Municipal de Contagem,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50394,Prefeitura Municipal de João Pessoa,50394,Prefeitura Municipal de João Pessoa,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54676,Prefeitura Municipal de Ponta Grossa,54676,Prefeitura Municipal de Ponta Grossa,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54693,Prefeitura Municipal de Ribeirão Preto,54693,Prefeitura Municipal de Ribeirão Preto,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50396,Prefeitura Municipal de Santos,50396,Prefeitura Municipal de Santos,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,68375,Prefeitura de Abaetetuba,68375,Prefeitura de Abaetetuba,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840924,Prefeitura de Alexânia,840924,Prefeitura de Alexânia,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2033709,Prefeitura de Altamira,2033709,Prefeitura de Altamira,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,52638,Prefeitura de Aracaju,52638,Prefeitura de Aracaju,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,891125,Prefeitura de Aracruz,891125,Prefeitura de Aracruz,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2033711,Prefeitura de Arapiraca,2033711,Prefeitura de Arapiraca,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,895969,Prefeitura de Balneário Pinhal,895969,Prefeitura de Balneário Pinhal,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,895257,Prefeitura de Barcarena,895257,Prefeitura de Barcarena,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60268,Prefeitura de Brumadinho,60268,Prefeitura de Brumadinho,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,867329,Prefeitura de Cametá,867329,Prefeitura de Cametá,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,50385,Prefeitura de Campo Grande,50385,Prefeitura de Campo Grande,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Amended,Public,Submitted
2025 Disclosure Cycle,779465,CDP,845128,Prefeitura de Campo Largo,845128,Prefeitura de Campo Largo,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,930247,Prefeitura de Carinhanha,930247,Prefeitura de Carinhanha,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840931,Prefeitura de Cordeirópolis,840931,Prefeitura de Cordeirópolis,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2033737,Prefeitura de Crato,2033737,Prefeitura de Crato,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,896058,Prefeitura de Cruzeiro do Sul - RS,896058,Prefeitura de Cruzeiro do Sul - RS,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,840915,Prefeitura de Curvelo,840915,Prefeitura de Curvelo,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840914,Prefeitura de Cáceres (Brasil),840914,Prefeitura de Cáceres (Brasil),City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,68384,Prefeitura de Engenheiro Coelho,68384,Prefeitura de Engenheiro Coelho,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50384,Prefeitura de Florianópolis,50384,Prefeitura de Florianópolis,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826217,Prefeitura de Francisco Morato,826217,Prefeitura de Francisco Morato,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840936,Prefeitura de Guanhães,840936,Prefeitura de Guanhães,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50387,Prefeitura de Guarulhos,50387,Prefeitura de Guarulhos,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840925,Prefeitura de Indiaroba,840925,Prefeitura de Indiaroba,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,867322,Prefeitura de Itabirito,867322,Prefeitura de Itabirito,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,850413,Prefeitura de Itá,850413,Prefeitura de Itá,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930248,Prefeitura de Jandaíra,930248,Prefeitura de Jandaíra,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2033759,Prefeitura de Ji-Paraná,2033759,Prefeitura de Ji-Paraná,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,850305,Prefeitura de Joaçaba,850305,Prefeitura de Joaçaba,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54647,Prefeitura de Jundiaí,54647,Prefeitura de Jundiaí,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54638,Prefeitura de Louveira,54638,Prefeitura de Louveira,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2033760,Prefeitura de Maranguape,2033760,Prefeitura de Maranguape,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,60305,Prefeitura de Mossoró,60305,Prefeitura de Mossoró,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,57509,Prefeitura de Niterói,57509,Prefeitura de Niterói,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862999,Prefeitura de Ouro Preto,862999,Prefeitura de Ouro Preto,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,54650,Prefeitura de Palmas,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2033762,Prefeitura de Palmeira Dos Índios,2033762,Prefeitura de Palmeira Dos Índios,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2033763,Prefeitura de Parintins,2033763,Prefeitura de Parintins,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,60310,Prefeitura de Petrópolis,60310,Prefeitura de Petrópolis,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,850566,Prefeitura de Piraquara,850566,Prefeitura de Piraquara,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60320,Prefeitura de Presidente Prudente,60320,Prefeitura de Presidente Prudente,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,845125,Prefeitura de Ribeirão das Neves,845125,Prefeitura de Ribeirão das Neves,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,51374,Prefeitura de Rio Branco,51374,Prefeitura de Rio Branco,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,60341,Prefeitura de Rio Grande,60341,Prefeitura de Rio Grande,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54651,Prefeitura de Santo André,54651,Prefeitura de Santo André,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,891180,Prefeitura de Serra,891180,Prefeitura de Serra,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,840926,Prefeitura de Serra Talhada,840926,Prefeitura de Serra Talhada,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2033765,Prefeitura de Sinop,2033765,Prefeitura de Sinop,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,60351,Prefeitura de Sobral,60351,Prefeitura de Sobral,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60332,Prefeitura de São Carlos,60332,Prefeitura de São Carlos,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840927,Prefeitura de São Cristóvão,840927,Prefeitura de São Cristóvão,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2033764,Prefeitura de São João De Meriti,2033764,Prefeitura de São João De Meriti,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,60349,Prefeitura de São Leopoldo,60349,Prefeitura de São Leopoldo,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,31184,Prefeitura de São Paulo,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,866901,Prefeitura de São Sepé,866901,Prefeitura de São Sepé,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60361,Prefeitura de Tangará da Serra,60361,Prefeitura de Tangará da Serra,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,50390,Prefeitura de Teresina,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2033767,Prefeitura de Vitória De Santo Antão,2033767,Prefeitura de Vitória De Santo Antão,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50397,Presidencia Municipal de Saltillo,50397,Presidencia Municipal de Saltillo,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_2,Amended,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73746,Probolinggo,73746,Probolinggo,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,839572,Putrajaya City,839572,Putrajaya City,City,South East Asia & Oceania,Malaysia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54290,Qingdao Municipal Government,54290,Qingdao Municipal Government,City,China,China,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930073,Quang Binh Province,930073,Quang Binh Province,City,South East Asia & Oceania,Viet Nam,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
