disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on improved forest management,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,Através do cadastro Ambiental Rural - CAR e monitoramento das áreas de vegetação nativa do estado.
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on improved forest management,http://www.planalto.gov.br/ccivil_03/leis/l6938.htm,"Trata-se da Lei federal sobre crimes ambientais e objetiva a preservação, melhoria e recuperação da qualidade ambiental, dando embasamento jurídico às políticas estaduais ambientais."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on avoided conversion,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=142274&indice=1&totalRegistros=1&dt=12.8.2025.10.6.42.222,"Institui o Pagamento por Serviços Ambientais, em especial os prestados pela Conservação da Biodiversidade, integrante do Programa Bioclima Paraná, bem como dispõe sobre o Biocrédito."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Traceability system for forest commodities,https://www.iat.pr.gov.br/Pagina/Servicos-Florestais#\nhttps://www.iat.pr.gov.br/Pagina/Consultar-licenciamentos,"O Paraná utiliza o Sistema Nacional de Controle da Origem dos Produtos Florestais (Sinaflor), do Instituto Brasileiro de Meio Ambiente (Ibama). De 2018 a 2020 existiam 1.998 autorizações emitidas pelo Paraná. De 2021 a 2025 foram 5.670 autorizações emitidas pelo Paraná. (Fontes: SINAFLOR e https://www.iat.pr.gov.br/Pagina/Consultar-licenciamentos ). Por fim, informa-se que existe um conjunto de normativas e sistemas utilizados na gestão florestal do Estado, disponíveis no link em anexo."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,National laws on improved forest management,http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11428.htm,"Proteção da vegetação nativa do Bioma Mata Atlântica, o qual originalmente cobria cerca de 98% do estado. "
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Long-term forest management/protection/conservation plans,https://www.iat.pr.gov.br/Pagina/Areas-Estrategicas-para-Conservacao-e-Restauracao-da-Biodiversidade-no-Estado-do-Parana-AECR,"O mapeamento das Áreas Estratégicas para a Conservação e Restauração da Biodiversidade (AECR) do Paraná tem o intuito de fornecer informações e subsídios técnicos fundamentais para aplicação em projetos ambientais, no cumprimento da legislação ambiental vigente e na formulação e execução de políticas públicas.Nesse intuito, o IAT desenvolve uma ferramenta para gestão ambiental com base no planejamento da paisagem, que permite delimitar e monitorar as áreas de maior importância para a conservação da biodiversidade paranaense.A implementação de ações com base nesse estudo é de fundamental importância para direcionar as políticas de conservação da biodiversidade do estado Paraná com vistas a contribuir para o alcance das metas do Marco Global de Biodiversidade, estabelecidas na 15ª Conferência das Partes da Convenção da ONU sobre Diversidade Biológica. Esse acordo histórico, estabelecido em dezembro de 2021 em que o Brasil é parte, visa proteger 30% das áreas naturais e restaurar 30% dos ecossistemas degradados (CBD/COP-15, Montreal, 2022)."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Regional laws on avoided conversion,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=9371&indice=1&totalRegistros=1&dt=12.8.2025.10.12.31.904,"As florestas existentes no território paranaense e as demais formas de vegetação, reconhecidas de utilidade às terras que revestem, são bens de interesse comum a todos os habitantes do Estado, exercendo-se os direitos de propriedade com as limitações que a legislação em geral e especialmente esta Lei Florestal do Estado estabelece."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,National laws on improved forest management,http://www.planalto.gov.br/ccivil_03/leis/l9985.htm,"No Paraná aplica-se o SNUC para as 313 áreas protegidas do estado (incluindo RPPNs - Decreto 1529/2007), entre elas 296 de proteção integral e 17 de uso sustentável."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,8,Row 8,National laws on improved forest management,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,"O Atual Código Florestal Brasileiro estabelece normas gerais sobre a proteção da vegetação, áreas de Preservação Permanente e as áreas de Reserva Legal; a exploração florestal, o suprimento de matéria-prima florestal, o controle da origem dos produtos florestais e o controle e prevenção dos incêndios florestais, e prevê instrumentos econômicos e financeiros para o alcance de seus objetivos. "
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,9,Row 9,Regional laws on avoided conversion,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=67059&indice=1&totalRegistros=1&dt=29.7.2022.16.16.40.805,"Dispõe sobre a criação do Programa BIOCLIMA PARANÁ de conservação e recuperação da biodiversidade, mitigação e adaptação às mudanças climáticas no Estado do Paraná e dá outras providências."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,10,Row 10,Regional policies on avoided conversion,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=270797&codItemAto=1723140#1723140,Instrumento de política pública que trata do repasse de recursos financeiros aos municípios que abrigam em seus territórios Unidades de Conservação ou mananciais para abastecimento de municípios vizinhos.
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,11,Row 11,Regional policies on avoided conversion,https://www.legislacao.pr.gov.br/legislacao/listarAtosAno.do?action=exibir&codAto=50391,"Dispõe sobre o Estatuto Estadual de Apoio à Conservação da Biodiversidade em Terras Privadas no Estado do Paraná, atualiza procedimentos para a criação de Reservas Particulares do Patrimônio Natural - RPPN - e dá outras providências. O ato administrativo restringe a categoria da RPPN para proteção integral no estado do Paraná, aumentando sua proteção."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,12,Row 12,National laws on improved forest management,http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,"Esta Lei estabelece normas gerais sobre a proteção da vegetação, áreas de Preservação Permanente e as áreas de Reserva Legal; a exploração florestal, o suprimento de matéria-prima florestal, o controle da origem dos produtos florestais e o controle e prevenção dos incêndios florestais, e prevê instrumentos econômicos e financeiros para o alcance de seus objetivos. (Incluído pela Lei nº 12.727, de 2012)"
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,13,Row 13,Management programs in partnership with Indigenous peoples,https://www.aen.pr.gov.br/Noticia/Parana-vira-referencia-em-gestao-compartilhada-de-Unidade-de-Conservacao-com-indigenas\n\nhttps://www.iat.pr.gov.br/Noticia/Programa-de-controle-das-especies-exoticas-chega-Floresta-Estadual-Metropolitana,"Termo de Cooperação de gestão entre o Instituto Água e Terra (IAT), vinculado à Secretaria de Estado do Desenvolvimento Sustentável (Sedest), e o Instituto e Centro de Formação Etno Bio Diverso Ângelo Kretã, para gestão da Floresta Estadual Metropolitana."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,14,Row 14,Management of Protected Areas,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=341610&indice=1&totalRegistros=17&dt=12.8.2025.9.53.33.71,Institui a Política Estadual de Crédito de Biodiversidade no Estado do Paraná e adota outras providências.\n
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Budget set aside for dedicated work on forest protection/conservation,http://icmsecologicorj.com.br/,"O ICMS Ecológico funciona como um incentivo para que os municípios criem ou melhorem suas áreas florestais protegidas. Uma parcela (2,5%) do ICMS (Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestação de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação), que é a principal fonte de arrecadação do Estado, é distribuída aos municípios de acordo com critérios ambientais: áreas protegidas, qualidade ambiental dos recursos hídricos e disposição adequada de resíduos. O componente de áreas protegidas corresponde a 45% do valor distribuído e é provavelmente um dos maiores incentivos para a criação de Unidades de Conservação municipais, que atualmente são mais de 300, somente no estado do Rio de Janeiro. Este ano, o decreto que regulamenta o ICMS Ecológico foi alterado, incluindo um fator no componente de recursos hídricos que considera o grau de conservação dos mananciais de abastecimento de água do estado, o que também pode trazer resultados positivos para a conservação da vegetação nativa nos próximos anos."
