disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.8,4.0,2024,DOEE Air Quality Trends report\nhttps://storymaps.arcgis.com/stories/79a80bb4a7074b6989f94a4a5b154675\n,"The District has seen improvements in air quality, with both annual and 24-hour PM 2.5 levels decreasing. In 2023, the annual PM 2.5 standard was updated to a more stringent limit of 9 µg/m 3. The District continues to meet the annual and 24-hour standard. "
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,NO2 concentration (annual average) level (ug/m3),11.8,3,2024,DOEE Air Quality Trends report\nhttps://storymaps.arcgis.com/stories/79a80bb4a7074b6989f94a4a5b154675\n,The rise in industry and population has not little impact on the NO2.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),4.8,24,2024,https://www.iqair.com/au/world-most-polluted-cities?cities=ELvgEoCTW4i2NRgi7,Data sourced from IQAIR. No official program to collect air quality data however through the installation of microclimate sensors we are able to gather air quality data. We have also partnered with Melbourne's tram operator to install a sensor on a city tram. This is providing air quality data at various tram stop locations across the CBD. There is a plan to expand this network of sensors at various locations across the municipality. This will enable us to collect and track data on air quality.
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,"Other air pollution metric: PM10, PMX, NO2, O3, C6H6, CO etc. concentrations.",23.5,13,2023,https://www.comune.roma.it/web/it/roma-statistica-ambiente1.page,Data from Roma Capitale Statistic Office at the provided link. Value referred to mean annual PM10 concentration.
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),9,47,2024,https://www.kankyo.metro.tokyo.lg.jp/air/air_pollution/torikumi/index.html,
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: SO2 concentration (annual average) level (ppm),0.001,20,2024,https://www.kankyo.metro.tokyo.lg.jp/air/air_pollution/torikumi/index.html,
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: NO2 concentration (annual average) level (ppm),0.011,44,2024,https://www.kankyo.metro.tokyo.lg.jp/air/air_pollution/torikumi/index.html,
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10 concentration (annual average) level (ug/m3),13,47.0,2024,https://www.kankyo.metro.tokyo.lg.jp/air/air_pollution/torikumi/index.html,
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),12.1,12,2024,https://data.moenv.gov.tw/,No comments.
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: AQI≦100,90.3,12,2024,https://data.moenv.gov.tw/,"Ratio of AQI≦100: The Environmental Protection Bureau of Kaohsiung City Government have set up 12 monitoring stations, so there are 12 statistical data per day."
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),18.2,12,2024,https://data.moenv.gov.tw/,No comments.
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),111,,2024,https://data.moenv.gov.tw/,"The number of days exceeding air quality standards: There are 12 monitoring stations in Kaohsiung City. If there are more than one stations showing AQI>100 within a day, it will be regarded as one day."
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.9,179,2023,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/kanshi_center/taikinenpo.files/taikinenpo_64.pdf,基準を超えた日はなし
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),0,,2023,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/kanshi_center/taikinenpo.files/taikinenpo_64.pdf,基準を超えた日はなし
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: SOx,0.002,18,2023,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/kanshi_center/taikinenpo.files/taikinenpo_64.pdf,単位はppm
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),0.011,19,2023,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/kanshi_center/taikinenpo.files/taikinenpo_64.pdf,単位はppm
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),6.55,3,2025,https://www.dpie.nsw.gov.au/air-quality/air-quality-data-services/data-download-facility,
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),3,,2025,https://www.dpie.nsw.gov.au/air-quality/air-quality-data-services/data-download-facility,
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),95,3,2025,https://www.dpie.nsw.gov.au/air-quality/air-quality-data-services/data-download-facility,
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),148,,2024,https://saaqis.environment.gov.za/,These exceedances relate to PM2.5 only. 
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),184,7,2022,https://saaqis.environment.gov.za/,The NO2 has not been monitored since 2022. 
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),30.8,7,2023,https://saaqis.environment.gov.za/,"PM2.5 concentrations in Johannesburg are worsened by numerous factors, such as open burning and the horizontal transport of pollutants by meteorological processes."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.2307,4,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. \n\nPM25\tmicrograms per cubic metre"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: O3 - parts per billion (ppb),24.0574,4,2022,https://www.airqualityontario.com/history/index.php\n\n,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. \n\nO3\tparts per billion (ppb)\n\n"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),11.9376,4,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. \n\nNO2 - Nitrogen Dioxide\tparts per billion (ppb)"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: Ontario's Ambient Air Quality Criteria (24-hour),,,,https://www.toronto.ca/legdocs/mmis/2017/hl/bgrd/backgroundfile-108070.pdf,"In 2017, Toronto published \'Avoiding the TRAP: Traffic-Related Air Pollution in Toronto and Options for Reducing Exposure\'. City-wide air quality study results indicate that some traffic-related air pollutants (TRAPs), benzene and PM10, are present at levels that may exceed the health benchmarks set by the federal Ministry of the Environment and Climate Change (MOECC) at times in Toronto. AAQCs and Canada-Wide Standards (CWSs) are benchmarks that represent an upper limit of desirable concentrations of contaminants in air, and are intended to be protective of health and/or environmental effects. In local (neighbourhood-level) air quality studies, benzene, benzo[a]pyrene, PM10, and PM2.5 - all of which are important vehicle emissions - were identified as exceeding the relevant health benchmarks. The city-wide modelling also suggests that additional substances may exceed AAQCs in some parts of Toronto, including cadmium, chromium, and vinyl chloride.\n\nSee report for details: https://www.toronto.ca/legdocs/mmis/2017/hl/bgrd/backgroundfile-108070.pdf "
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: Carbon Monoxide (CO) Concentrations average hourly parts per million (ppm),0.2445,1.0,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. One of these measures CO concentrations.\n\n\nCarbon Monoxide - parts per million (ppm)\n"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: Nitric Oxide (NO) Concentrations parts per billion (ppb),4.7761,4.0,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. \n\nNitrogen Oxide\tparts per billion (ppb)\n"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: Sulphur Dioxide (SO2) Concentrations parts per billion (ppb),0.357,2,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. Two of these measure SO2 concentrations.\n\nSO2 - Sulphur Dioxide\tparts per billion (ppb)\n"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,8,Row 8,Other air pollution metric: Nitrogen Oxides (NOx) Concentrations parts per billion (ppb),16.3824,4.0,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto. \n\nNOx - Nitrogen Oxides\tparts per billion (ppb)"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,9,Row 9,Number of days exceeding air quality guidelines/standards (times/year),11,,2022,https://www.airqualityontario.com/history/index.php,"The Ontario Ministry of Environment, Conservation and Parks operates 4 air quality monitoring stations in Toronto.\n\nWe calculated the number of days where the daily (24-hour) average exposure of PM2.5 for all 4 air quality monitoring stations exceeded the WHO Air Quality Guidelines (15 µg/m3)."
